Kolo,Q#,Otázka,Typ Odpovědi,A,B,C,D,Správná odpověď,Zdroj
Kolo 1 - Aktuální přehled,1,"Jaké je druhové jméno virální opičky Punch, která se proslavila svou láskou k plyšovému orangutanovi poté, co ji odvrhla její biologická matka? Pozn.: Druhové jméno je např. orangutan bornejský případně latinsky Pongo pygmaeus.",Written,,,,,"Makak červenolící, též japonský, lat. Macaca fuscata",
,2,"Jak se jmenuje aktuální vesmírný program americké NASA, v rámci kterého má poprvé po více než 50 letech obletět Měsíc lidská posádka (konkrétně během chystané mise s pořadovým číslem II)?",Written,,,,,Artemis,
,3,"Letošní poločasovou show na Super Bowlu obstaral rapper a zpěvák Bad Bunny, který se stal vůbec prvním sólovým latinskoamerickým umělcem v této hlavní roli. Z jakého nezačleněného ostrovního území USA v Karibiku tento interpret pochází?",Written,,,,,Portoriko,
,4,"Jaký se jmenuje hlavní opoziční strana, která má dle průzkumů šanci vyhrát nad vládním Fidesz Viktora Orbána v následujících maďarských parlamentních volbách?",Written,,,,,"Respekt a svoboda, Tisztelet és Szabadság Párt nebo Tisza",
,5,"Izrael a Írán nesdílejí hranice. Minimálně které dvě země byste museli překonat, abyste se z Izraele do Íránu dostali?",Written,,,,,Sýrii a Irák nebo Jordánsko a Irák,
,6,Z jakého důvodu nosil francouzský prezident na ekonomickém fóru v Davosu brýle?,Written,,,,,Měl prasklou žilku v oku,
,7,Ve kterém městě se v březnu 2026 koná Mistrovství světa v krasobruslení?,Written,,,,,Praha,
,8,"Který velký fotbalový turnaj se uskuteční v létě 2026 v USA, Kanadě a Mexiku?",Written,,,,,MS vo futbale 2026,
,9,Začátkem roku 2026 vyšla nová série populárního romantického seriálu Bridgerton. Na které streamovací platformě je tento seriál k dispozici?,Written,,,,,Netflix,
,10,Jaký výrazný prvek přibyl v uplynulých dnech na budově slovenského ministerstva obrany známém též jako Kukurica?,Written,,,,,LED panel,
Kolo 2 - True Crime,1,"Po kom nebo po čem je v České republice pojmenován tzv. „švarcsystém“, tedy nelegální zaměstnávání lidí na živnostenský list (IČO)?",ABCD,"Po bývalém ministrovi financí z 90. let, který proti této praxi tvrdě bojoval.","Jde o počeštělý německý výraz „Schwarzsystem“, což v překladu znamená černý systém nebo práce načerno.","Po podnikateli Miroslavu Švarcovi, majiteli stavební firmy, který tento způsob spolupráce v 90. letech masivně proslavil.",Jde o zkratku ze slovního spojení „Špatně Vykázaná A Realizovaná Činnost“.,C,
